47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area) *",484614759
47940,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)",8628719
48060,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)",5851168
48140,"Wausau-Weston, WI (Metropolitan Statistical Area)",9299963
48260,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)",6113014
48300,"Wenatchee, WA (Metropolitan Statistical Area)",6069900
48540,"Wheeling, WV-OH (Metropolitan Statistical Area)",12218102
48620,"Wichita, KS (Metropolitan Statistical Area)",33494536
48660,"Wichita Falls, TX (Metropolitan Statistical Area)",5954367
48700,"Williamsport, PA (Metropolitan Statistical Area)",6355190
48900,"Wilmington, NC (Metropolitan Statistical Area)",12828556
49020,"Winchester, VA-WV (Metropolitan Statistical Area) *",6131093
49180,"Winston-Salem, NC (Metropolitan Statistical Area)",30228237
49340,"Worcester, MA-CT (Metropolitan Statistical Area)",44662471
49420,"Yakima, WA (Metropolitan Statistical Area)",10698626
49620,"York-Hanover, PA (Metropolitan Statistical Area)",18912943
49660,"Youngstown-Warren-Boardman, OH-PA (Metropolitan Statistical Area)",19455070
49700,"Yuba City, CA (Metropolitan Statistical Area)",6709322
49740,"Yuma, AZ (Metropolitan Statistical Area)",7565775
