,S1701_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S0101_C02_032E,S2301_C01_001E,B01001_001E,B25001_001E,B25002_001E,B25004_001E,B25005_001E,B25048_001E,B25052_001E,B25006_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,2018
77,187988,71511,79056,47461,34828,-888888888,152032,193729,79525,79525,35586.901162790695,8014.0,71511,71511.0,292610.1221590909,26258,4578,18388,35682,15654,3520,472660,30641.0,15218.0,36143.0,41391.0,21497.0,14259.0,6959115.0
78,137237,54429,64931,33748,32296,-888888888,121435,151306,65446,65446,11017.0,11017.0,54429,54429.0,54429.0,19483,5287,17949,31536,8999,1209,369882,24786.0,11988.0,31058.0,32397.0,14003.0,8344.0,5954367.0
79,106012,44585,41715,23317,30539,-888888888,93463,113664,53530,53530,8945.0,8945.0,44585,44585.0,44585.0,13722,5057,11877,25205,7258,2547,326887,26815.0,7138.0,30323.0,22512.0,13710.0,6298.0,6355190.0
80,286488,120886,119344,55766,72166,-888888888,244872,294436,142860,142860,21974.0,21974.0,120886,120886.0,120886.0,47436,10139,35554,66543,23046,4786,810292,29421.0,15851.0,43703.0,66461.0,53011.0,24632.0,12828556.0
81,105475,44657,48852,26799,21841,-888888888,87104,111755,60041,60041,15384.0,15384.0,44657,44657.0,44657.0,20244,6173,17082,25142,7664,2692,352698,29567.0,5928.0,23750.0,25061.0,9580.0,6521.0,5851168.0
82,133011,56245,49122,30847,32791,-888888888,108677,135428,59706,59706,35586.901162790695,3461.0,56245,56245.0,56245.0,15745,3660,14064,27839,10436,2587,372020,32444.0,7262.0,30777.0,29629.0,17474.0,8460.0,9299963.0
83,116612,51680,39262,22615,36984,-888888888,99614,120228,58798,58798,7118.0,7118.0,51680,51680.0,51680.0,14531,3824,17860,29366,5663,1399,357355,24958.0,8262.0,39145.0,25568.0,8600.0,5995.0,6113014.0
84,118953,47855,44077,29116,29082,-888888888,93724,119943,55248,55248,7393.0,7393.0,47855,47855.0,47855.0,16817,4956,14882,23811,8217,2060,309845,30896.0,14208.0,22022.0,24827.0,13112.0,7977.0,6069900.0
85,133461,52435,48695,27014,41626,-888888888,116836,140045,68798,68798,16363.0,16363.0,52435,52435.0,292610.1221590909,13270,6157,19123,33745,7528,1052,413654,25786.0,7704.0,41491.0,29903.0,15457.0,7794.0,12218102.0
86,633278,248799,252574,163832,138221,-888888888,498466,645031,277530,277530,28731.0,28731.0,248799,248799.0,248799.0,83628,29944,65717,102960,46659,25051,1749632,29939.0,40683.0,110689.0,139233.0,82681.0,49035.0,33494536.0
87,138405,53715,53235,32338,34693,-888888888,114065,141848,61985,61985,8270.0,8270.0,53715,53715.0,53715.0,16538,4271,14720,28032,10625,2960,390172,33105.0,11962.0,31752.0,28314.0,14393.0,11290.0,6131093.0
88,657450,270772,245752,148319,165121,-888888888,541219,671456,301150,301150,30378.0,30378.0,270772,270772.0,270772.0,96578,24285,76840,152394,35123,9018,1737686,28013.0,64384.0,134871.0,145756.0,77774.0,42332.0,30228237.0
89,914968,353402,368016,197161,213603,-888888888,775749,947866,386302,386302,32900.0,32900.0,353402,353402.0,353402.0,119144,46324,105700,149504,64376,14144,2261415,34231.0,57107.0,184187.0,180154.0,143951.0,92504.0,44662471.0
90,247591,83320,99407,74450,47905,-888888888,184095,251446,89129,89129,5809.0,5809.0,83320,83320.0,83320.0,30382,7212,23487,37861,14144,2538,499086,25401.0,40511.0,42310.0,44188.0,15520.0,10130.0,10698626.0
91,439134,173958,163390,98940,110523,-888888888,361664,448273,184880,184880,10922.0,10922.0,173958,173958.0,173958.0,43236,14091,41123,81762,35331,9747,1192807,31971.0,31084.0,122067.0,78919.0,52368.0,27506.0,18912943.0
92,520732,227477,186630,108068,157471,-888888888,445710,538952,259297,259297,31820.0,31820.0,227477,227477.0,227477.0,68788,18743,68683,123922,35269,7756,1575638,26139.0,38264.0,155544.0,105312.0,54490.0,30702.0,19455070.0
93,171740,58180,70596,46244,36327,-888888888,133540,174848,63163,63163,4983.0,4983.0,58180,58180.0,58180.0,23342,4945,17450,27699,10407,2064,354017,26458.0,23576.0,24733.0,44572.0,13485.0,6939.0,6709322.0
94,205802,74532,83963,53632,51270,-888888888,164347,212128,93571,93571,19039.0,19039.0,74532,74532.0,74532.0,25582,16925,23061,37090,12027,864,448802,23737.0,33019.0,36638.0,42733.0,15554.0,7169.0,7565775.0
95,221375,96449,117807,44988,46174,-888888888,197363,237356,106732,106732,10283.0,10283.0,96449,96449.0,96449.0,41411,14130,26487,35717,20440,4095,597539,29729.0,8664.0,32378.0,40899.0,29303.0,29577.0,10744785.0
96,207251,90728,72711,42534,60845,-888888888,173394,211285,108280,108280,17552.0,17552.0,90728,90728.0,90728.0,27413,9677,35189,47030,13041,1912,640973,24373.0,18217.0,56642.0,42710.0,20359.0,15201.0,12326275.0
97,769638,294424,325759,171931,165138,-888888888,633420,787643,339519,339519,45095.0,45095.0,294424,294424.0,294424.0,96956,24003,75234,156408,62324,17543,2070663,31989.0,44499.0,139000.0,162691.0,129199.0,70215.0,38403896.0
98,2529486,960297,1043311,610760,489829,-888888888,2030682,2569213,1049329,1049329,89032.0,89032.0,960297,960297.0,960297.0,329130,76402,238854,460484,193384,65342,6435079,31521.0,184744.0,402812.0,522184.0,421008.0,207184.0,148297645.0
99,216082,88765,96745,42849,57127,-888888888,193139,231565,103303,103303,14538.0,14538.0,88765,88765.0,88765.0,33003,8901,24003,41358,19852,7237,660527,32778.0,16741.0,33724.0,32550.0,38028.0,38129.0,12197403.0
