,NAME,B01001_001E,B25001_001E,B25002_001E,B25004_001E,B25005_001E,B25048_001E,B25052_001E,B25006_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,msa
205,"Homosassa Springs, FL Metro Area",147929,79988,79988,17695,17695,62293,62293,,10665,3870,28888,40088,6635,229,455896,23476,12068,45123,39286,14180,7442,26140
206,"Hot Springs, AR Metro Area",99154,51025,51025,10618,10618,40407,40407,,13592,4194,16042,21512,6645,1508,288626,24804,6720,24538,24550,10106,5578,26300
207,"Houma-Thibodaux, LA Metro Area",209136,87332,87332,13583,13583,73749,73749,73749,18511,7782,21663,43557,12065,1212,486706,25959,29683,55173,31696,14831,8396,26380
208,"Houston-The Woodlands-Sugar Land, TX Metro Area",6997384,2637669,2637669,278403,278403,2359266,2359266,2359266,936531,392773,549794,937674,568938,134092,15237005,31989,735625,1045481,1235809,948842,541509,26420
209,"Huntington-Ashland, WV-KY-OH Metro Area",352823,165837,165837,29068,29068,136769,136769,136769,37022,12580,45175,77584,21031,7359,1009955,24217,27456,89251,74345,32033,23271,26580
210,"Huntsville, AL Metro Area",462693,200798,200798,15742,15742,185056,185056,185056,60054,16655,35862,90878,45049,9527,1278821,31237,31589,70028,89217,80615,48189,26620
213,"Idaho Falls, ID Metro Area",149051,54807,54807,4453,4453,50354,50354,50354,15215,3920,10432,15686,12686,11281,379833,26710,6915,24300,31520,18448,8351,26820
215,"Indianapolis-Carmel-Anderson, IN Metro Area",2048428,867509,867509,84164,84164,783345,783345,783345,276374,89169,230199,332329,158981,41757,5396570,32217,142586,376270,370031,309149,169279,26900
216,"Iowa City, IA Metro Area",173401,74788,74788,5102,5102,69686,69686,69686,27834,7248,22477,24824,12983,5488,449824,30899,4876,17473,30192,25074,26004,26980
217,"Ithaca, NY Metro Area",102793,43883,43883,,3633,40250,40250,40250,17774,7230,10064,15449,7473,2402,261652,29222,3735,11508,13481,12578,18457,27060
218,"Jackson, MI Metro Area",158823,69696,69696,7098,7098,62598,62598,62598,17231,5478,17214,32124,10932,2195,419690,25666,10525,38174,39113,15362,7954,27100
219,"Jackson, MS Metro Area",583080,245769,245769,35603,35603,210166,210166,210166,67755,15364,55741,121572,43099,7620,1422673,27139,40509,96041,124828,76016,50205,27140
220,"Jackson, TN Metro Area",129209,56960,56960,6412,6412,50548,50548,50548,18858,4011,14372,26774,9718,1714,343251,26883,10678,29406,26940,12672,7150,27180
221,"Jacksonville, FL Metro Area",1534701,655462,655462,80039,80039,575423,575423,575423,210111,57695,142706,295010,126545,25706,3846163,30777,98837,295990,330635,214643,121299,27260
222,"Jacksonville, NC Metro Area",197683,80259,80259,13425,13425,66834,66834,66834,31017,4635,18962,40803,13740,1851,459429,24729,10227,31625,39354,17464,7900,27340
224,"Janesville-Beloit, WI Metro Area",163129,69235,69235,,4603,64632,64632,64632,22124,6335,18914,31422,8680,2875,411672,30003,9694,41231,35529,15972,8523,27500
226,"Jefferson City, MO Metro Area",150243,65775,65775,8722,8722,57053,57053,,16491,4792,15105,30894,10402,3988,424786,31217,9915,35200,28653,19709,10106,27620
227,"Johnson City, TN Metro Area",203921,98498,98498,13068,13068,85430,85430,85430,30053,8946,28220,43570,12831,3067,562634,24528,18278,45089,41684,23179,16601,27740
228,"Johnstown, PA Metro Area",131730,66035,66035,9552,9552,56483,56483,,14562,3215,17045,33519,9094,2244,420029,24924,7425,42555,24408,13530,6679,27780
229,"Jonesboro, AR Metro Area",132532,57268,57268,,4933,52335,52335,52335,22375,4802,13041,28578,8237,1468,321766,23478,11324,32268,20905,13699,7436,27860
230,"Joplin, MO Metro Area",178902,76587,76587,,5442,71145,71145,71145,24766,5798,19923,35777,10991,3291,464639,25414,14967,43113,35363,18974,7562,27900
231,"Kahului-Wailuku-Lahaina, HI Metro Area",167295,73889,73889,21038,21038,52851,52851,52851,19098,13082,19746,26287,7593,3455,330768,32292,9082,38395,36856,22769,12458,27980
232,"Kalamazoo-Portage, MI Metro Area",340318,150185,150185,17344,17344,132841,132841,132841,43257,15624,37398,60300,26903,6980,919205,27863,17487,54604,70788,46159,29242,28020
234,"Kankakee, IL Metro Area",110024,45644,45644,5002,5002,40642,40642,40642,13353,3368,12670,21128,6439,1257,264728,25615,9088,25803,23471,8710,5652,28100
235,"Kansas City, MO-KS Metro Area",2142419,917911,917911,82819,82819,835092,835092,835092,292182,92841,219283,347614,193911,48221,5680923,34200,112705,367139,434029,340486,197246,28140
238,"Kennewick-Richland, WA Metro Area",296224,106032,106032,7044,7044,98988,98988,98988,32496,8092,19621,48394,22135,6029,647832,31294,28588,45996,60463,30465,20444,28420
240,"Killeen-Temple, TX Metro Area",451681,178904,178904,26744,26744,152160,152160,152160,66702,16570,33198,85352,38491,3015,962266,27505,27478,77051,109982,42478,21889,28660
241,"Kingsport-Bristol-Bristol, TN-VA Metro Area",306562,149268,149268,23500,23500,125768,125768,125768,33470,12586,41985,68637,19971,3944,875900,22940,29656,81007,65961,29997,17630,28700
242,"Kingston, NY Metro Area",178599,85431,85431,16277,16277,69154,69154,69154,22663,13640,21460,30969,13294,4235,498295,31758,12200,38701,37934,23342,17980,28740
244,"Knoxville, TN Metro Area",882598,399186,399186,54529,54529,344657,344657,344657,107919,28153,105841,176612,65173,16599,2404579,26978,67671,187304,180945,104601,70780,28940
245,"Kokomo, IN Metro Area",82366,39559,39559,,4420,35139,35139,35139,11267,4189,9701,17610,6004,1257,240435,30864,7077,20242,17279,8514,4443,29020
246,"La Crosse-Onalaska, WI-MN Metro Area",136808,59352,59352,3195,,56157,56157,56157,20281,6125,16441,20870,11082,3789,368199,30780,3775,24670,29475,19479,12093,29100
247,"Lafayette, LA Metro Area",489364,211681,211681,27324,27324,184357,184357,184357,57686,16147,53189,109043,27940,3723,1172849,26056,51518,117865,74823,54709,23813,29180
248,"Lafayette-West Lafayette, IN Metro Area",222676,90200,90200,8316,8316,81884,81884,81884,35477,11443,19499,36311,17707,2703,540720,24547,10362,33269,37350,27397,18364,29200
250,"Lake Charles, LA Metro Area",209548,95671,95671,15286,15286,80385,80385,80385,26862,6892,24122,48245,13574,2182,545327,26206,18001,46716,44967,20604,9731,29340
252,"Lake Havasu City-Kingman, AZ Metro Area",209550,115269,115269,24999,24999,90270,90270,90270,26616,6331,38782,56100,11156,642,580326,23492,20798,55424,61519,15673,7353,29420
253,"Lakeland-Winter Haven, FL Metro Area",708009,299432,299432,58261,58261,241171,241171,241171,73224,25456,91168,123345,44773,8804,1665582,25816,73451,171703,149752,63259,33583,29460
254,"Lancaster, PA Metro Area",543557,212243,212243,9753,9753,202490,202490,202490,66038,18801,45839,90100,43262,10470,1341660,31881,55463,124851,82041,65673,38742,29540
255,"Lansing-East Lansing, MI Metro Area",481893,203771,203771,16939,16939,186832,186832,186832,65471,21468,51339,83076,36096,8100,1237188,29695,19877,71590,112889,63847,42620,29620
256,"Laredo, TX Metro Area",275910,84466,84466,9166,9166,75300,75300,75300,29464,7531,21305,41315,9974,2655,447858,21503,52381,32814,37862,22514,7975,29700
257,"Las Cruces, NM Metro Area",217522,89060,89060,8651,8651,80409,80409,80409,31765,7623,24930,37968,14464,2507,470877,20430,27330,31650,36760,24246,14261,29740
258,"Las Vegas-Henderson-Paradise, NV Metro Area",2231647,913385,913385,104780,104780,808605,808605,808605,370321,103308,236616,318859,170289,45589,4830406,30872,216265,429391,508165,246720,129667,29820
260,"Lawrence, KS Metro Area",121436,51068,51068,,,48907,48907,48907,23008,6206,12716,18178,9101,3244,300296,25752,2393,10665,18217,19217,20900,29940
261,"Lawton, OK Metro Area",125696,54668,54668,10057,10057,44611,44611,44611,19420,4959,11823,27955,7156,1070,293347,25976,9504,25409,27157,10435,8334,30020
262,"Lebanon, PA Metro Area",141314,58010,58010,,3488,54522,54522,54522,16007,5058,12347,28465,8616,2216,357327,29980,12047,44117,21426,13537,6619,30140
263,"Lewiston, ID-WA Metro Area",63018,28344,28344,,3077,25267,25267,,6855,2839,8888,9617,5063,1496,174549,28164,2774,15205,17164,6644,2559,30300
264,"Lewiston-Auburn, ME Metro Area",107679,50052,50052,,5155,44897,44897,,17309,5357,16155,19600,6184,1549,274047,30315,7776,26306,26960,10486,4347,30340
265,"Lexington-Fayette, KY Metro Area",516697,222288,222288,17868,17868,204420,204420,204420,81546,22357,54085,91103,41415,10110,1323511,30183,32577,78730,99392,75070,55260,30460
266,"Lima, OH Metro Area",102663,45192,45192,3988,3988,41204,41204,,14401,3144,11352,21792,6909,1221,277562,24715,6207,27729,22664,6725,5182,30620
267,"Lincoln, NE Metro Area",333964,140696,140696,8075,8075,132621,132621,132621,52352,19662,35617,49280,24147,8234,867092,31057,12645,45114,66373,54614,30107,30700
268,"Little Rock-North Little Rock-Conway, AR Metro Area",741357,328929,328929,44546,44546,284383,284383,284383,99308,25504,74893,160263,51250,8544,1892246,29860,49447,145915,155245,88784,58815,30780
269,"Logan, UT-ID Metro Area",141476,47047,47047,3624,3624,43423,43423,43423,15277,2953,10024,11044,11293,11198,329416,24659,4802,15955,24638,18101,9712,30860
271,"Longview, TX Metro Area",219417,90808,90808,14392,14392,76416,76416,76416,25308,7868,21381,48060,10992,1474,509005,25916,22144,47802,49248,16823,8304,30980
272,"Longview, WA Metro Area",108987,44959,44959,,,43279,43279,43279,13875,3956,9928,20217,7256,1785,259364,28381,7418,24975,30257,8720,4074,31020
273,"Los Angeles-Long Beach-Anaheim, CA Metro Area",13291486,4672663,4672663,318361,318361,4354302,4354302,4354302,2255530,826837,1380619,1341665,653222,178250,22991048,31070,1740111,1810764,2436574,2061593,1102732,31080
274,"Louisville/Jefferson County, KY-IN Metro Area",1296815,562814,562814,55347,55347,507467,507467,507467,168200,51688,149121,241511,85894,24924,3355137,30895,92201,261615,274821,164603,107465,31140
275,"Lubbock, TX Metro Area",319995,135468,135468,15343,15343,120125,120125,120125,52004,17716,30058,62892,20007,1838,729055,25627,26188,50955,57400,36164,19250,31180
278,"Lynchburg, VA Metro Area",265405,117697,117697,14421,14421,103276,103276,103276,31675,6585,32012,56164,16777,5444,721410,26005,17628,56907,53636,30474,18754,31340
279,"Macon-Bibb County, GA Metro Area",226680,101899,101899,17194,17194,84705,84705,84705,34631,9525,25694,45084,16489,3417,594982,25069,21677,48257,46631,20723,13832,31420
280,"Madera, CA Metro Area",157672,50971,50971,6487,6487,44484,44484,44484,16065,2742,10159,23283,11059,1742,286152,23434,31178,23015,29917,10732,4559,31460
281,"Madison, WI Metro Area",660422,290894,290894,15300,15300,275594,275594,275594,107519,38251,75520,108301,46559,12241,1703530,37985,23161,92147,125125,120130,82619,31540
282,"Manchester-Nashua, NH Metro Area",415247,172044,172044,10395,10395,161649,161649,161649,54743,19540,50943,62843,28844,5814,1011309,36897,22477,76532,81573,70785,42538,31700
283,"Manhattan, KS Metro Area",97980,41175,41175,5263,5263,35912,,35912,17837,4597,9633,13503,7622,3098,235053,22569,2793,10623,15197,13369,9942,31740
285,"Mankato-North Mankato, MN Metro Area",101647,42424,42424,3161,3161,39263,39263,39263,13007,3985,10613,14242,9386,2884,264611,30036,4347,15506,21526,13955,6457,31860
286,"Mansfield, OH Metro Area",121099,54173,54173,6068,6068,48105,48105,48105,16045,3770,13457,27912,6244,1555,327606,24499,11773,33960,24644,9920,5818,31900
293,"Mayagüez, PR Metro Area",87598,47688,47688,10148,10148,37540,37540,37540,15246,4635,13043,21899,5867,832,223432,,,,,,,32420
294,"McAllen-Edinburg-Mission, TX Metro Area",865939,281655,281655,44332,44332,237323,237323,237323,74502,27666,79198,122866,38519,7991,1385331,19173,164831,117396,115768,64552,26841,32580
296,"Medford, OR Metro Area",219564,96251,96251,6464,6464,89787,89787,89787,30479,10446,24634,45734,11977,1586,513535,28315,16410,37796,59406,27581,16736,32780
297,"Memphis, TN-MS-AR Metro Area",1350064,574982,574982,70841,70841,504141,504141,504141,199296,48069,136904,253657,96788,29471,3425693,27969,107485,265167,265316,159064,94711,32820
298,"Merced, CA Metro Area",274765,85766,85766,6279,6279,79487,79487,79487,37311,4486,18415,41108,17914,2139,473008,25596,49198,44402,45534,15119,8761,32900
300,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",6198782,2548910,2548910,405843,405843,2143067,2143067,2143067,859668,365214,933199,784885,300980,84143,12641403,27216,618590,1171667,1184810,912432,557250,33100
301,"Michigan City-La Porte, IN Metro Area",110007,49209,49209,6087,6087,43122,43122,43122,11691,3361,12426,24457,6640,1946,291183,26513,9159,32274,21351,10074,4958,33140
302,"Midland, MI Metro Area",83209,37115,37115,,3024,34091,34091,,9071,3675,9041,14933,7484,1692,232939,29167,3600,17351,18718,10329,8371,33220
303,"Midland, TX Metro Area",177218,63685,63685,,4506,59179,59179,59179,20047,7008,12738,27854,12571,1646,361075,38199,18182,26405,36054,21751,8810,33260
304,"Milwaukee-Waukesha-West Allis, WI Metro Area",1576113,681231,681231,46833,46833,634398,634398,634398,251335,79254,194397,258689,105834,23377,3937767,32803,90903,287017,309049,242429,144121,33340
305,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3629190,1460569,1460569,74101,74101,1386468,1386468,1386468,415957,184812,360681,451423,318043,111481,9347120,39573,152495,516302,747126,685966,364587,33460
307,"Missoula, MT Metro Area",118791,54922,54922,,4521,50401,50401,,21532,7082,17191,15640,9553,3385,308560,26959,3495,16439,28967,19263,12930,33540
308,"Mobile, AL Metro Area",413757,184687,184687,26060,26060,158627,158627,158627,63441,17201,39907,92136,28342,4193,1071667,25256,39834,97080,80823,41139,21335,33660
309,"Modesto, CA Metro Area",549815,182305,182305,7134,7134,175171,175171,175171,71480,13767,44862,78714,33968,8056,1013165,27991,68958,107960,113904,39921,18053,33700
310,"Monroe, LA Metro Area",176805,82278,82278,17487,17487,64791,64791,64791,24781,6205,21004,41810,10976,1131,458528,26569,12073,42216,36535,17594,8161,33740
311,"Monroe, MI Metro Area",150439,64803,64803,,3217,61586,61586,,12169,3368,12092,34198,12643,2173,431183,31690,7481,35472,39380,15819,8210,33780
312,"Montgomery, AL Metro Area",373401,168054,168054,25326,25326,142728,142728,142728,51071,9655,34001,81564,34927,5784,1011894,25930,34377,74686,72017,43045,30419,33860
314,"Morgantown, WV Metro Area",140259,60241,60241,,7068,53173,53173,53173,20021,5629,17531,25118,9433,1375,353422,25120,6418,30041,20054,17104,17634,34060
315,"Morristown, TN Metro Area",118581,51551,51551,7779,7779,43772,43772,43772,12530,2119,14060,25236,8455,1580,309349,23756,15066,32405,21474,9035,5140,34100
319,"Mount Vernon-Anacortes, WA Metro Area",128206,54451,54451,5977,5977,48474,48474,48474,14986,5706,13923,24681,7152,1336,305264,34324,8421,24769,33850,16277,8277,34580
320,"Muncie, IN Metro Area",114772,52731,52731,7420,7420,45311,45311,45311,15923,4983,16553,22031,5946,1485,300927,22493,8146,22869,22038,9434,8274,34620
321,"Muskegon, MI Metro Area",173588,74301,74301,7105,7105,67196,67196,67196,16712,5651,19646,35713,9878,2797,437929,26834,8002,40443,47738,15731,7814,34740
323,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",480891,302984,302984,115052,115052,187932,187932,187932,43783,17807,89429,145462,38098,6947,1558532,25723,33318,113417,120824,62986,32911,34820
325,"Napa, CA Metro Area",139417,55465,55465,8150,8150,47315,47315,47315,17262,6361,16139,20758,8840,2121,302597,36289,13943,18497,31238,23099,10985,34900
326,"Naples-Immokalee-Marco Island, FL Metro Area",378488,218279,218279,74107,74107,144172,144172,144172,37736,12257,85217,90580,21893,4771,1114779,31485,37372,67746,73130,65301,45151,34940
327,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1932099,801341,801341,70632,70632,730709,730709,730709,251551,73373,186206,354366,136569,34372,4843591,32344,130691,349817,359913,303121,167291,34980
328,"New Bern, NC Metro Area",123433,60397,60397,10870,10870,49527,49527,49527,17794,2862,12581,34220,8869,1492,359367,26514,9373,24425,30691,13151,7601,35100
330,"New Haven-Milford, CT Metro Area",857620,367766,367766,32227,32227,335539,335539,335539,131069,52424,110377,131459,52354,11304,2033697,34382,57722,189357,141878,110431,99559,35300
331,"New Orleans-Metairie, LA Metro Area",1270399,559529,559529,77087,77087,482442,482442,482442,182013,66992,138484,224590,101557,16170,3175692,27123,109197,253068,252552,172473,98501,35380
333,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",19979477,8021225,8021225,738302,738302,7282923,7282923,7282923,3513413,1655319,2183289,2239361,1118163,389378,41885799,37033,1794881,3425323,3004384,3326132,2413339,35620
334,"Niles-Benton Harbor, MI Metro Area",154141,77645,77645,12862,12862,64783,64783,64783,17834,5363,20122,34046,12999,3460,476571,28319,11224,28417,36129,20502,11163,35660
335,"North Port-Sarasota-Bradenton, FL Metro Area",821573,438587,438587,104052,104052,334535,334535,334535,85437,34007,187253,164778,39202,6394,2340514,30331,51867,187325,191515,120537,85628,35840
337,"Norwich-New London, CT Metro Area",266784,123618,123618,15520,15520,108098,108098,108098,36595,13863,34809,50115,18868,4157,725866,34320,15988,58052,52766,36319,26385,35980
339,"Ocala, FL Metro Area",359977,170513,170513,27072,27072,143441,143441,143441,35010,8262,56027,82598,19531,2458,952362,23628,33036,103194,78331,35482,17659,36100
340,"Ocean City, NJ Metro Area",92560,99427,99427,60219,60219,39208,39208,39208,7677,5474,21167,40319,21438,9403,584202,33479,5384,20799,20192,16203,8508,36140
341,"Odessa, TX Metro Area",162124,58685,58685,,4359,54326,54326,54326,19177,6456,12608,27038,8415,1147,312820,33438,23366,29083,28910,10494,5127,36220
342,"Ogden-Clearfield, UT Metro Area",676948,226478,226478,15146,15146,211332,211332,211332,50897,11720,36858,64834,55473,53756,1641025,32430,28090,102127,145909,89851,39973,36260
344,"Oklahoma City, OK Metro Area",1396445,579416,579416,57377,57377,522039,522039,522039,192848,56864,131244,276313,91122,13390,3279345,30091,95696,250542,288996,177513,103391,36420
346,"Olympia-Tumwater, WA Metro Area",286419,117860,117860,7147,7147,110713,110713,110713,39779,9643,29165,54854,18559,3136,696041,37226,10645,43814,70777,46801,30694,36500
347,"Omaha-Council Bluffs, NE-IA Metro Area",941924,390387,390387,27623,27623,362764,362764,362764,127305,48147,89783,145884,75163,21845,2457072,34722,51957,145144,195390,146025,79497,36540
350,"Orlando-Kissimmee-Sanford, FL Metro Area",2572962,1050682,1050682,174180,174180,876502,876502,876502,341468,103527,265695,403480,205958,49248,5912335,27386,185554,461686,534947,381057,204277,36740
351,"Oshkosh-Neenah, WI Metro Area",171020,76015,76015,4683,4683,71332,71332,71332,23548,5620,21822,32349,11152,2170,441092,30714,9154,37774,39844,21212,7965,36780
353,"Owensboro, KY Metro Area",119691,51605,51605,4918,4918,46687,46687,46687,14293,3850,14512,23668,7228,1894,301978,26359,7102,28743,27408,10686,6815,36980
355,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",850967,290984,290984,19004,19004,271980,271980,271980,102016,28911,65971,98314,72260,18694,1668226,33782,84780,116809,187771,117297,69979,37100
358,"Palm Bay-Melbourne-Titusville, FL Metro Area",596849,280390,280390,54027,54027,226363,226363,226363,55114,18868,73461,132398,48076,4760,1601933,27857,35401,125326,145163,86957,50860,37340
359,"Panama City, FL Metro Area",202977,114504,114504,34057,34057,80447,80447,80447,25141,10220,33660,52855,13052,2118,594972,27148,13918,47708,48485,21070,11107,37460
360,"Parkersburg-Vienna, WV Metro Area",92499,43680,43680,4685,4685,38995,38995,,10502,3505,12963,19829,5639,1371,263861,25440,6392,23339,23003,8502,4793,37620
361,"Pensacola-Ferry Pass-Brent, FL Metro Area",494883,215510,215510,32799,32799,182711,182711,182711,58406,10870,53414,104039,41357,3486,1267743,29347,25042,95058,125325,60492,33606,37860
362,"Peoria, IL Metro Area",368683,166773,166773,19166,19166,147607,147607,147607,45071,18614,47034,66162,26345,6495,1003947,30714,20135,76524,83728,46014,26409,37900
363,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6096372,2497446,2497446,211795,211795,2285651,2285651,2285651,764467,280138,514203,1008900,517662,117931,15586291,34702,376166,1236248,1005020,950153,660943,37980
364,"Phoenix-Mesa-Scottsdale, AZ Metro Area",4857962,1940167,1940167,209767,209767,1730400,1730400,1730400,624706,213306,498772,673174,402667,104129,10836539,31853,391315,749520,1077448,658424,381964,38060
365,"Pine Bluff, AR Metro Area",90306,42308,42308,9841,9841,32467,32467,,12014,2996,9943,23199,4629,1052,248323,22737,7023,27531,17679,6781,3434,38220
367,"Pittsburgh, PA Metro Area",2324743,1130046,1130046,116234,116234,1013812,1013812,1013812,308230,123728,299364,463557,179899,41969,6939928,31612,94126,546193,452461,363441,237858,38300
368,"Pittsfield, MA Metro Area",126348,69393,69393,14181,14181,55212,55212,55212,17573,9470,16517,28337,10229,3072,403423,31296,6514,27999,26280,18893,13410,38340
370,"Pocatello, ID Metro Area",87138,34441,34441,,3806,30635,30635,30635,10639,2052,8418,10641,8339,4222,221954,25035,4189,14402,21508,10152,5312,38540
371,"Ponce, PR Metro Area",288127,136972,136972,29407,29407,107565,107565,107565,32903,6363,23294,84200,18074,3973,677912,,,,,,,38660
373,"Portland-South Portland, ME Metro Area",535420,275704,275704,47456,47456,228248,228248,228248,67663,33383,81210,106953,38113,9248,1578438,35014,19115,97578,114206,101706,61994,38860
374,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2478996,1008538,1008538,53591,53591,954947,954947,954947,359090,109466,250570,386533,178850,44742,5794117,36323,137578,350393,562611,435286,264430,38900
375,"Port St. Lucie, FL Metro Area",482040,223168,223168,41330,41330,181838,181838,181838,44035,10081,82357,90753,33959,2751,1279193,28817,42699,103512,116070,59339,37078,38940
378,"Prescott, AZ Metro Area",231993,118410,118410,17574,17574,100836,100836,100836,26935,11031,32766,57369,13355,2467,663882,25711,18512,44037,68929,29024,18073,39140
379,"Providence-Warwick, RI-MA Metro Area",1621337,705461,705461,83756,83756,621705,621705,621705,239105,93730,211283,274945,88383,20061,3951992,31996,137020,337138,299928,217471,145012,39300
380,"Provo-Orem, UT Metro Area",632705,183774,183774,9348,9348,174426,174426,174426,52802,7789,29719,53082,38146,52037,1333450,25973,17670,53892,113509,89296,41298,39340
381,"Pueblo, CO Metro Area",167529,71451,71451,6497,6497,64954,64954,64954,22544,6958,20402,24828,12527,4843,417543,25220,11421,32843,45783,16537,8498,39380
382,"Punta Gorda, FL Metro Area",184998,105164,105164,30189,30189,74975,74975,74975,12467,5522,41301,50333,6175,382,528176,24429,16268,53562,47230,21606,14254,39460
384,"Racine, WI Metro Area",196584,82908,82908,,6100,76808,76808,76808,25822,6783,23610,34227,13726,3131,491299,30844,12449,41409,46783,22529,12360,39540
385,"Raleigh, NC Metro Area",1362540,548200,548200,43346,43346,504854,504854,504854,176354,49356,113129,228107,112574,38052,3409950,37448,69380,161386,244926,277214,161628,39580
386,"Rapid City, SD Metro Area",147316,65885,65885,7376,7376,58509,58509,58509,17438,4986,18321,22089,15674,3247,398395,31123,5708,32329,31582,21456,10831,39660
387,"Reading, PA Metro Area",420152,167383,167383,10377,10377,157006,157006,157006,44987,15594,32227,70028,36792,9439,1069093,30733,38808,101276,73963,46063,25792,39740
388,"Redding, CA Metro Area",180040,79187,79187,10989,10989,68198,68198,68198,23796,6143,22493,39074,8341,1681,420862,26609,14670,29514,54601,17578,10638,39820
389,"Reno, NV Metro Area",471265,203338,203338,15614,15614,187724,187724,187724,78428,27066,48273,75806,35747,8120,1097254,33482,33407,78828,112691,63497,38860,39900
391,"Richmond, VA Metro Area",1303621,535243,535243,37827,37827,497416,497416,497416,171199,40450,113607,213991,121911,36101,3423370,33637,95164,227674,237393,212569,132900,40060
393,"Riverside-San Bernardino-Ontario, CA Metro Area",4622361,1574567,1574567,207817,207817,1366750,1366750,1366750,483970,131605,409273,552675,348323,101913,8754565,28106,539746,835246,946871,417430,231809,40140
394,"Roanoke, VA Metro Area",314515,147101,147101,20414,20414,126687,126687,126687,41165,9381,40232,65039,24202,5638,883438,29249,23526,70437,64748,42399,24623,40220
396,"Rochester, MN Metro Area",219802,95278,95278,6634,6634,88644,88644,88644,23806,7604,23549,30167,23140,7952,625237,37438,9394,34777,47146,34538,24066,40340
397,"Rochester, NY Metro Area",1071082,482352,482352,51670,51670,430682,430682,430682,136951,60220,111142,187561,92588,20363,2948107,31149,70574,187259,217511,149005,122140,40380
398,"Rockford, IL Metro Area",337658,145829,145829,12780,12780,133049,133049,133049,41426,13230,38886,61736,23880,5140,886687,28912,27275,75967,73981,31930,20341,40420
399,"Rocky Mount, NC Metro Area",146021,68181,68181,9337,9337,58844,58844,58844,20011,2107,17651,36236,9107,1668,394525,25917,12397,37341,31476,14944,5475,40580
400,"Rome, GA Metro Area",97927,40639,40639,,5967,34672,34672,34672,13797,2554,11846,17365,6587,1553,239220,23627,12184,24108,18130,6537,4570,40660
404,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",2345210,911214,911214,75761,75761,835453,835453,835453,328335,96474,221497,340152,190007,42940,5127206,33738,162798,330518,549807,352931,192028,40900
405,"Saginaw, MI Metro Area",190800,87810,87810,9070,9070,78740,78740,78740,23216,6418,20480,46141,10499,2529,533248,26796,11732,44404,47849,16854,10137,40980
406,"St. Cloud, MN Metro Area",199801,82549,82549,7612,7612,74937,74937,74937,24273,6927,21136,28781,18189,5244,503894,29485,9999,33851,47166,22202,11851,41060
407,"St. George, UT Metro Area",171700,71349,71349,,11486,59863,59863,59863,17183,3725,15925,29101,12533,9458,439466,27778,7572,24883,44993,21597,13386,41100
408,"St. Joseph, MO-KS Metro Area",126991,54038,54038,7222,7222,46816,46816,,15418,6347,16362,22402,6237,1655,317887,28847,9193,34255,25217,13785,5440,41140
409,"St. Louis, MO-IL Metro Area",2804724,1262336,1262336,124858,124858,1137478,1137478,1137478,359888,129321,342635,500060,220699,49542,7615007,32834,151201,500722,619834,401242,277938,41180
411,"Salem, OR Metro Area",432102,159836,159836,9107,9107,150729,150729,150729,60751,12395,45788,72278,21367,4087,910388,27470,39526,73017,101521,46017,23627,41420
412,"Salinas, CA Metro Area",435594,142414,142414,16115,16115,126299,126299,126299,61503,16748,37983,53879,22515,4283,726011,28746,76675,58339,73835,40932,28128,41500
413,"Salisbury, MD-DE Metro Area",409979,251638,251638,90333,90333,161305,161305,161305,41901,13417,58140,124722,41911,10486,1505449,29282,33275,95857,87190,47245,32306,41540
414,"Salt Lake City, UT Metro Area",1222540,426150,426150,23908,23908,402242,402242,402242,130931,44361,88487,107215,91259,84660,2798411,34033,66932,178417,253413,170326,100970,41620
415,"San Angelo, TX Metro Area",119310,49393,49393,5455,5455,43938,43938,43938,16460,5026,14075,20137,7584,925,259577,26912,8764,25526,23753,13197,5281,41660
416,"San Antonio-New Braunfels, TX Metro Area",2518036,905875,905875,81987,81987,823888,823888,823888,310532,116492,187269,372459,171041,32565,5119877,28310,243860,438341,500556,285566,163842,41700
417,"San Diego-Carlsbad, CA Metro Area",3343364,1224390,1224390,93479,93479,1130911,1130911,1130911,530366,167649,373395,366541,210192,56528,6337396,34238,289510,420657,693804,526304,347504,41740
419,"San Francisco-Oakland-Hayward, CA Metro Area",4729484,1825205,1825205,126227,126227,1698978,1698978,1698978,765074,303006,485710,530495,296919,89147,9335251,48016,340961,537633,803220,1025802,724789,41860
420,"San Germán, PR Metro Area",118510,67704,67704,27272,27272,40432,40432,,12184,5152,15591,37620,7722,815,289894,,,,,,,41900
421,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1999107,697955,697955,34085,34085,663870,663870,663870,294146,93919,174511,217928,143751,35941,3641871,48238,151511,196184,307701,389587,345293,41940
