,Unnamed: 0,msa,NAME,S1701_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S2301_C01_001E,B01001_001E,B25001_001E,B25002_001E,B25005_001E,B25048_001E,B25052_001E,B25007_012E,B25041_003E,B25041_004E,B25041_005E,B25041_006E,B25041_007E,B25019_001E,B06011_001E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,gdp_2019,score_sdgi,_merge
252,257,40060,"Richmond, VA Metro Area",1258365,491891,516588,274935,295941,1047526,1290866,533680,533680,41789.0,491891.0,491891.0,165663,43690,112088,211378,121921,37275,3430340,35331.0,89419.0,229572.0,243840.0,206470.0,131964.0,78701911.0,42.0,both
253,258,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4557685,1379706,1943938,1183793,882469,3602936,4650631,1588615,1588615,208909.0,1379706.0,1379706.0,498394,141131,403399,556042,353409,102713,8826051,30783.0,541858.0,784034.0,991827.0,446734.0,247252.0,171884061.0,46.0,both
256,261,40380,"Rochester, NY Metro Area",1030243,437296,407988,217986,270940,878719,1069644,484126,484126,46830.0,437296.0,437296.0,147420,61126,107971,192154,89006,19084,2913401,32481.0,69293.0,187428.0,214010.0,156307.0,120800.0,56728386.0,48.0,both
257,262,41180,"St. Louis, MO-IL Metro Area",2741024,1145583,1071175,615146,676464,2254823,2801423,1267434,1267434,121851.0,1145583.0,1145583.0,352986,137284,353362,484243,225184,48612,7644156,35366.0,146652.0,509118.0,602000.0,411038.0,289219.0,152402085.0,43.0,both
264,269,41620,"Salt Lake City, UT Metro Area",1217769,405984,558002,332379,199393,938057,1232696,434654,434654,28670.0,405984.0,405984.0,129147,44892,92158,110418,91871,83746,2854860,35234.0,64905.0,182166.0,250643.0,188289.0,97663.0,88155402.0,54.0,both
266,271,41700,"San Antonio-New Braunfels, TX Metro Area",2507864,830598,1088951,637215,478343,1985035,2550960,914421,914421,83823.0,830598.0,830598.0,310192,116382,193845,370411,175097,34085,5142764,30257.0,239408.0,434585.0,510739.0,306816.0,172694.0,115621292.0,48.0,both
267,272,41740,"San Diego-Chula Vista-Carlsbad, CA Metro Area",3255097,1132434,1453111,714798,676022,2702171,3338330,1233923,1233923,101489.0,1132434.0,1132434.0,522793,174543,372258,370791,217295,55915,6397719,36445.0,272475.0,415370.0,686980.0,560064.0,352583.0,222272562.0,63.0,both
268,273,41860,"San Francisco-Oakland-Berkeley, CA Metro Area",4668490,1721576,1980119,924120,1039132,3913818,4731803,1841897,1841897,120321.0,1721576.0,1721576.0,791326,304008,485357,534723,304473,87476,9365597,50884.0,359842.0,539467.0,775579.0,1032030.0,736144.0,531247412.0,70.0,both
269,275,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1955091,662842,852588,431307,388842,1605553,1990660,706285,706285,43443.0,662842.0,662842.0,296893,100681,171465,217986,144738,36909,3661812,50985.0,158083.0,195956.0,305262.0,384399.0,348955.0,320444051.0,68.0,both
270,277,42540,"Scranton--Wilkes-Barre, PA Metro Area",532934,230210,201267,111077,151827,455680,553885,264847,264847,34637.0,230210.0,230210.0,77718,23791,59147,123579,39518,12540,1649373,29337.0,34362.0,155544.0,109845.0,59086.0,37864.0,26499156.0,44.0,both
271,278,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",3917801,1541245,1724109,846322,782141,3220082,3979845,1644721,1644721,103476.0,1541245.0,1541245.0,620853,234136,390680,533860,317006,84592,9239404,44395.0,202997.0,537480.0,828279.0,754202.0,485529.0,382630156.0,66.0,both
288,295,44060,"Spokane-Spokane Valley, WA Metro Area",552485,229880,225650,124531,138085,457270,568521,245158,245158,15278.0,229880.0,229880.0,85787,27547,68802,77895,46402,18313,1491490,30799.0,25007.0,93417.0,156838.0,73581.0,43266.0,26873440.0,47.0,both
290,297,44140,"Springfield, MA Metro Area",659487,270899,280237,134682,175877,581413,697382,292482,292482,21583.0,270899.0,270899.0,100040,36413,86407,111724,41605,10266,1649343,31107.0,51691.0,140168.0,120092.0,89700.0,72282.0,31177450.0,51.0,both
295,302,44700,"Stockton, CA Metro Area",742138,230241,316720,203759,140356,581204,762148,248673,248673,18432.0,230241.0,230241.0,95813,18832,59814,97536,53096,12958,1394270,30821.0,98926.0,141126.0,147865.0,68256.0,28539.0,30486439.0,46.0,both
297,304,45060,"Syracuse, NY Metro Area",618671,255844,249036,135306,161605,529387,648593,296954,296954,41110.0,255844.0,255844.0,81350,32219,69088,120921,55401,12960,1822028,32680.0,38936.0,129499.0,131223.0,80055.0,64223.0,37721126.0,50.0,both
300,307,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",3148227,1228481,1177859,628593,859192,2633030,3194831,1450652,1450652,222171.0,1228481.0,1228481.0,408690,169126,519604,489214,205558,36919,7822212,30609.0,237689.0,661435.0,686159.0,470613.0,262762.0,148372290.0,48.0,both
303,310,45780,"Toledo, OH Metro Area",624083,268089,248918,141406,157603,516624,641816,304246,304246,36157.0,268089.0,268089.0,96603,30909,80306,126747,53266,9136,1871754,29994.0,40524.0,132826.0,139353.0,77324.0,45299.0,34905301.0,40.0,both
305,312,45940,"Trenton-Princeton, NJ Metro Area",349835,130851,146992,78062,82937,299157,367430,145133,145133,14282.0,130851.0,130851.0,49000,19583,34031,46529,31602,7686,874983,36850.0,27887.0,57906.0,52013.0,57081.0,53328.0,31467636.0,54.0,both
306,313,46060,"Tucson, AZ Metro Area",1017001,410404,413993,215606,278088,853555,1047279,466337,466337,55933.0,410404.0,410404.0,151943,64963,123116,171975,77467,14070,2476221,28704.0,84287.0,156065.0,238289.0,134431.0,97377.0,42169490.0,47.0,both
