GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",135786268,136125302,136573207,136625510,141837733,142912859,148350208,148108551,143893039,146543910,149064777,153286556,159512528,166353982,175329758,179569310,186462516,194854387,202456263
19780,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",28534139,28998667,31442080,34419005,36693640,35600832,39237812,35436757,34630064,35290050,35322988,37615378,36671575,40445437,43501787,45002929,44615459,45302947,45632930
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",220489931,225370267,229269820,228640367,232553236,224327467,222584319,208061351,185026134,197225821,205503795,212218111,215910918,218496046,222803770,227292727,229815511,235105362,237089292
20020,"Dothan, AL (Metropolitan Statistical Area)",4572451,4823901,4877581,5045270,5151052,5288278,5273604,5102198,4924910,4950865,4938767,4993062,5216341,5263423,5375246,5577968,5739568,5800247,5852663
20100,"Dover, DE (Metropolitan Statistical Area)",5727868,5900897,5970832,6520952,6559633,6852972,6894367,6801855,6956632,6804296,6704085,6494799,6387826,6542711,6769442,6712345,6744896,7018157,7274755
20220,"Dubuque, IA (Metropolitan Statistical Area)",3606714,3785948,3929205,4353372,4645655,4778458,4993094,4681661,4368719,4691708,4749902,5382688,5112288,5618291,5762661,5414101,5571858,5700053,5712534
20260,"Duluth, MN-WI (Metropolitan Statistical Area)",11473486,11977632,12106598,12832073,12997259,13034261,12767834,13165473,12471760,13674117,14143047,13510625,14180943,14259359,12819489,13444250,13652565,14299750,14961822
20500,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",27550628,28651903,30079594,30546607,32718094,39601764,42232511,43179101,41072934,44169812,44233523,44095759,45226554,44664664,43640553,42774263,43655387,45099151,47168892
20700,"East Stroudsburg, PA (Metropolitan Statistical Area)",4636910,4758933,4713346,5123337,5525979,5746435,6106731,6133248,5932557,6000208,5866369,5690944,5655610,5728012,5914720,6279754,6176459,6144704,6350462
20740,"Eau Claire, WI (Metropolitan Statistical Area)",5295892,5567499,5814494,6126013,6509467,6665715,6840856,6685216,6653357,7050028,7152185,7331709,7351229,7956671,8141251,8095550,8187644,8502893,8612412
